SCHNAME	N_PUPILS	KS1	KS2	P_SEN
Highfield Middle School	413	16.0	28.1	20
Horton Grange Primary School	395	13.5	29.0	36
James Calvert Spence College - South Avenue	370	14.8	25.8	43
Malvin's Close Primary School	465	16.2	29.9	23
Meadowdale Middle School	434	14.9	28.7	18
Morpeth Chantry Middle School	472	16.8	29.7	9
Morpeth Newminster Middle School	515	17.2	29.4	19
Morpeth Road Primary School	365	13.1	27.3	41
New Delaval Primary School	210	14.0	27.8	42
Newsham Primary School	432	14.7	28.6	19
Ovingham Middle School	368	17.5	30.0	12
Ponteland Middle School	571	17.8	29.9	15
Richard Coates Church of England Middle School	442	16.8	29.1	6
St Bede's Roman Catholic Voluntary Aided Primary School	239	15.6	27.6	19
St Benedict's Roman Catholic Voluntary Aided Middle School	230	16.7	29.0	12
St Joseph's Roman Catholic Voluntary Aided Middle School	326	17.9	30.3	3
St Mary's Church of England Middle School	81	15.1	27.6	44
St Paul's RC Voluntary Aided Middle School	158	16.2	30.3	20
St Peter's RC Middle School	96	14.5	27.9	19
St Wilfrid's Roman Catholic Voluntary Aided Primary School	321	16.0	28.9	18
Seahouses Middle School	99	16.0	27.1	20
Seaton Sluice Middle School	285	16.1	29.3	17
Tweedmouth Community Middle School	331	14.9	27.0	24
Whytrig Community Middle School	200	15.9	28.7	25
All Saints Church of England (Aided) Primary School	406	15.1	28.6	10
Appleton Church of England (A) Primary School	169	17.8	30.6	9
Ashbury with Compton Beauchamp Church of England (A) Primary School	62	14.4	27.9	43
Aston and Cote Church of England Primary School	139	16.0	30.3	20
Aston Rowant Church of England Primary School	95	12.0	24.2	57
Bampton CofE Primary School	130	15.2	28.3	50
Barley Hill Primary School	554	15.4	27.6	11
The Batt Church of England Voluntary Aided Primary School	314	16.5	29.8	15
Bayards Hill Primary School	446	12.3	26.5	52
Beckley Church of England Primary School	150	17.1	32.0	8
Benson Church of England Primary School	187	16.5	28.9	21
Berinsfield Community Primary School	247	12.5	27.4	25
Bishop Carpenter Church of England Aided Primary School	111	16.2	30.9	0
Bishop Loveday Church of England Primary School	406	15.8	29.3	10
Bladon Church of England Primary School	84	17.3	31.8	9
The Blake Church of England (Aided) Primary School	405	15.3	28.3	16
Bletchingdon Parochial Church of England Primary School	72	15.7	27.0	0
Blewbury Endowed Church of England Primary School	156	16.1	28.8	17
Bloxham Church of England Primary School	405	16.3	29.4	4
Botley School	354	15.9	28.6	16
Brightwell-Cum-Sotwell Church of England (C) Primary School	117	16.2	30.0	18
Brize Norton Primary School	110	17.3	32.0	0
Brookside Primary School	276	13.4	28.7	26
Buckland Church of England Primary School	96	15.7	31.0	33
Bure Park Primary School	513	15.2	28.7	22
Burford Primary School	113	14.3	27.9	42
Caldecott Primary School	343	14.3	27.6	35
Carswell Community Primary School	208	14.6	28.4	36
Carterton Primary School	210	14.2	27.3	42
Chadlington Church of England Primary School	79	13.2	26.5	50
Chalgrove Community Primary School	189	14.8	28.3	34
Charlbury Primary School	205	17.3	30.1	23
Charlton Primary School	323	16.6	29.3	14
Charlton-on-Otmoor Church of England Primary School	101	16.0	28.6	28
Checkendon Church of England (A) Primary School	99	14.8	26.2	36
Chesterton Church of England Voluntary Aided Primary School	123	16.6	29.5	7
Chilton County Primary School	219	17.1	30.7	15
Cholsey Primary School	250	14.8	29.3	21
Christopher Rawlins Church of England Voluntary Aided Primary School	227	16.2	28.3	21
Church Cowley St James Church of England Primary School	461	13.7	27.5	29
Clanfield CofE Primary School	98	15.6	30.8	8
Clifton Hampden Church of England Primary School	63	16.8	30.4	0
Combe Church of England Primary School	113	18.0	33.8	6
Cropredy Church of England Primary School	158	16.0	29.5	22
Crowmarsh Gifford Church of England School	203	15.7	30.1	22
Cumnor Church of England School (Voluntary Controlled)	196	15.9	30.6	16
Cutteslowe Primary School	245	13.2	27.5	39
Dashwood Banbury Academy	216	14.1	29.6	18
Deddington Church of England Primary School	203	16.7	30.8	11
Dorchester St Birinus Church of England School	99	17.8	30.7	7
Dr Radcliffe's Church of England School	208	16.6	30.8	10
Dr South's Church of England Voluntary Aided Primary School	98	13.2	26.4	33
Drayton Community Primary School	141	15.7	29.3	39
Dry Sandford Primary School	121	12.6	28.2	30
Ducklington Primary School	191	15.3	28.5	0
Dunmore Primary School	461	15.5	28.6	21
East Oxford Primary School	319	13.0	26.6	39
Edith Moorhouse Primary School	264	15.5	28.6	24
Edward Feild Primary School	297	15.6	30.0	21
Enstone Primary School	105	15.1	28.1	18
Ewelme CofE Primary School	81	15.1	27.6	33
Eynsham Community Primary School	387	16.0	28.1	18
Faringdon Junior School	248	15.4	30.3	17
Finstock Church of England Primary School	61	13.9	28.5	23
Fir Tree Junior School	173	16.3	27.8	20
Five Acres Primary School	301	16.9	28.0	12
Freeland Church of England Primary School	149	16.0	28.7	16
Fringford Church of England Primary School	100	16.0	29.1	12
Fritwell Church of England Primary School	175	15.5	28.6	11
Garsington Church of England Primary School	190	16.3	30.6	8
Gateway Primary School	295	14.3	25.6	39
Glory Farm Primary School	421	15.9	29.6	16
Goring Church of England Aided Primary School	224	17.7	30.3	14
The Grange School	254	16.9	29.9	11
Great Milton Church of England Primary School	153	16.5	30.2	40
Great Rollright Church of England (Aided) Primary School	94	15.7	29.7	36
Great Tew County Primary School	99	16.8	30.1	7
Grove Church of England School	150	9.8	24.6	42
Hagbourne Church of England Primary School	209	15.9	29.7	20
Hailey Church of England Primary School	96	17.6	29.8	11
Hanborough Manor CofE School	190	16.3	31.4	22
Hanwell Fields Community School	321	15.0	27.6	30
Hardwick Primary School	195	11.4	27.9	31
Harriers Ground Community Primary School	286	15.0	30.5	5
Harwell Primary School	164	16.1	28.7	20
The Hendreds Church of England School	122	15.8	30.8	6
Hill View Primary School	477	15.4	28.1	20
Holy Trinity Catholic School, Chipping Norton	194	16.1	30.0	23
Hook Norton Church of England Primary School	223	17.7	30.6	11
Hornton Primary School	70	13.8	28.8	50
Horspath Church of England Primary School	131	15.8	29.8	19
John Blandy VC Primary School	156	15.4	28.8	4
John Hampden Primary School	281	16.9	29.3	21
John Henry Newman Academy	387	13.0	27.9	31
Kidmore End Church of England (Aided) Primary School	205	17.6	29.8	14
Kingham Primary School	201	17.0	32.2	0
King's Meadow Primary School	384	14.8	28.3	22
Kirtlington Church of England Primary School	96	16.4	30.8	11
Ladygrove Park Primary School	426	15.7	28.5	23
Langford Village Community School	544	15.6	28.7	19
Larkrise Primary School	433	13.9	26.3	43
Launton Church of England Primary School	129	15.8	30.1	10
Leafield Church of England (Controlled) Primary School	99	16.3	29.7	9
Lewknor Church of England Primary School	78	13.6	26.8	25
Little Milton Church of England Primary School	74	17.7	33.0	0
Long Furlong Primary School	244	15.1	30.2	16
Long Wittenham (Church of England) Primary School	83	15.2	28.4	31
Longcot and Fernham Church of England Primary School	116	16.3	29.6	18
Longfields Primary and Nursery School	302	15.0	28.7	32
Longworth Primary School	69	15.9	32.3	10
Madley Brook Community Primary School	308	15.7	29.3	11
Manor School	495	15.7	27.6	27
Marcham Church of England (Voluntary Controlled) Primary School	131	15.3	29.8	19
Marsh Baldon Church of England Controlled School	70	14.1	27.2	33
Middle Barton School	101	16.1	27.4	38
Mill Lane Community Primary School	227	15.0	29.0	24
Millbrook School	435	15.9	28.3	26
Nettlebed Community School	117	16.4	31.1	21
New Hinksey Church of England Primary School	172	10.2	26.1	30
New Marston Primary School	325	13.2	26.6	34
North Hinksey Church of England Primary School	204	14.9	28.1	44
North Kidlington Primary School	249	16.5	29.5	29
North Leigh Church of England (Controlled) School	169	15.3	29.6	29
Northbourne Church of England Primary School	280	15.2	28.3	26
Orchard Fields Community School	409	12.9	27.3	45
Orchard Meadow Primary School	337	12.4	24.8	25
Our Lady of Lourdes Catholic Primary School, Witney	184	14.9	27.7	24
Our Lady's Catholic Primary School	312	14.5	27.1	21
Pegasus School	492	13.9	27.9	37
Peppard Church of England Primary School	85	17.4	29.8	17
Queen's Dyke CP School	254	15.8	28.1	12
Queensway School	222	14.3	28.6	20
Radley Church of England Primary School	126	15.9	29.2	23
RAF Benson Community Primary School	182	15.3	28.8	18
The Ridgeway Church of England (C) Primary School	70	16.0	29.0	17
Rose Hill Primary School	390	11.9	27.3	53
Rush Common School	411	16.8	30.0	10
Sacred Heart Catholic Primary School, Henley-on-Thames	204	17.0	29.6	30
St Aloysius' Catholic Primary School	234	15.3	29.9	13
St Amand's Catholic Primary School	110	14.3	27.8	33
St Andrew's Church of England Primary School	239	16.7	30.8	15
St Andrew's Church of England Primary School	245	15.2	30.7	13
St Barnabas' Church of England Aided Primary School	234	16.0	28.7	18
St Christopher's Church of England School	135	17.7	29.8	8
St Christopher's Church of England School, Cowley	425	12.8	25.7	37
St Ebbe's Church of England Aided Primary School	315	16.2	29.8	28
St Edburg's Church of England (VA) School	167	13.0	26.5	42
St Edmund's Catholic Primary School	269	14.8	27.7	30
St Francis Church of England Primary School	310	12.7	26.4	51
St James Church of England School, Hanney	95	14.6	28.2	8
St John Fisher Catholic Primary School, Littlemore	258	14.9	27.1	29
St John the Evangelist CofE Primary School	361	15.0	27.6	25
St John's Catholic Primary School, Banbury	298	17.0	30.6	8
St John's Primary School	209	16.2	30.2	19
St Joseph's Catholic Primary School, Banbury	212	14.9	25.4	40
St Joseph's Catholic Primary School, Oxford	314	15.9	29.3	12
St Joseph's Catholic Primary School, Thame	176	15.6	28.9	13
St Kenelm's Church of England (VC) School	103	14.8	28.5	21
St Laurence Church of England (A) School	86	16.4	30.5	11
St Leonard's Church of England Primary School	409	14.4	28.2	40
St Mary and John Church of England Primary School	410	15.0	30.1	21
St Mary's Catholic Primary School, Bicester	270	15.3	30.1	6
St Mary's Church of England (Aided) Primary School, Chipping Norton	234	14.8	26.4	34
St Mary's Church of England (VC) Primary School, Banbury	219	14.8	27.2	31
St Michael's Church of England Primary School, Steventon	147	14.8	28.7	23
St Michael's CofE Primary School	206	15.4	29.6	27
St Nicholas CofE Primary School	68	14.7	28.5	11
St Nicholas Primary School	439	14.9	28.9	40
St Nicolas Church of England Primary School, Abingdon	424	16.5	28.3	14
St Peter's Church of England Primary School, Cassington	83	14.7	28.7	30
St Philip and James' Church of England Aided Primary School Oxford	406	17.1	32.3	30
St Swithun's CofE Primary School	352	16.5	29.1	23
St Thomas More Catholic Primary School, Kidlington	232	15.0	30.6	10
Sandhills Community Primary School	302	15.2	29.8	31
Shellingford Church of England (Voluntary Aided) School	73	18.0	31.5	13
Shenington Church of England Primary School	107	16.4	29.8	32
Shiplake Church of England School	190	17.0	30.5	4
Shrivenham Church of England Controlled School	145	17.3	29.9	15
Sibford Gower Endowed Primary School	128	14.5	28.7	25
Sonning Common Primary School	391	15.5	29.3	13
South Moreton School	131	14.8	29.8	13
Southwold County Primary School	353	15.4	27.6	12
Stadhampton Primary School	90	17.3	29.6	10
Standlake Church of England Primary School	130	16.5	28.7	20
Stanford in the Vale Church of England Primary School	199	14.2	27.9	15
Stanton Harcourt CofE Primary School	85	16.6	30.1	8
Stephen Freeman Community Primary School	270	12.4	25.5	39
Stockham Primary School	201	15.3	28.8	20
Stoke Row Church of England School	71	18.0	30.0	20
Stonesfield School	141	16.9	28.7	27
Sunningwell Church of England Primary School	97	15.0	29.3	38
Sutton Courtenay CofE Primary School	138	14.1	26.6	34
Tackley Church of England Primary School	126	15.3	29.4	38
Thameside Primary School	203	13.1	27.0	40
Thomas Reade Primary School	221	17.0	31.6	9
Tower Hill Community Primary School	187	14.8	28.4	38
Trinity Church of England Primary School	320	17.2	29.6	22
Uffington Church of England Primary School	103	17.2	30.8	0
Valley Road School	226	15.9	29.5	17
Wantage Church of England Primary School	458	15.9	29.0	24
Watchfield Primary School	314	16.5	28.9	5
Watlington Primary School	293	16.0	29.2	23
West Kidlington Primary School	379	15.1	29.1	27
West Oxford Community Primary School	217	16.9	31.0	16
West Witney Primary School	302	16.7	30.0	15
Wheatley Church of England (C) Primary School	315	14.6	28.6	18
Whitchurch Primary School	124	16.6	30.1	14
William Fletcher Primary School	204	15.3	29.1	27
William Morris School	176	13.0	26.5	52
Willowcroft Community School	277	13.6	27.5	36
Windale Community Primary School	336	12.6	25.7	52
Windmill Primary School	478	15.2	29.0	17
Witney Community Primary School	199	15.5	27.8	25
Wolvercote Primary School	249	16.2	29.1	23
Wood Farm Primary School	307	12.8	26.9	43
Woodcote Primary School	198	16.5	28.9	15
Woodstock Church of England Primary School	272	15.6	30.9	19
Wootton St Peter's Church of England Primary School	111	17.6	31.3	7
Wootton-by-Woodstock Church of England (Aided) Primary School	64	15.3	28.3	11
Wroxton Church of England Primary School	92	14.6	29.5	22
Wychwood Church of England Primary School	292	16.2	29.6	19
Abbas and Templecombe Church of England Primary School	136	15.7	30.3	34
All Saints Church of England Primary School	211	15.7	30.9	14
Archbishop Cranmer Church of England Community Primary School	307	14.2	25.4	26
Ash Church of England Primary School	163	16.3	31.8	12
Ashcott Primary School	121	13.7	26.2	30
Avishayes Community Primary School	277	15.3	26.8	16
Baltonsborough Church of England Voluntary Controlled Primary School	89	15.3	28.5	45
Barwick and Stoford Community Primary School	65	11.8	28.1	43
Beech Grove Primary School	300	15.3	27.8	18
Berrow Church of England Primary School	191	16.5	29.3	19
Birchfield Community Primary School	369	13.5	28.0	26
Bishop Henderson Church of England Primary School	152	15.4	28.2	6
Bishop Henderson Church of England Primary School, Taunton	414	16.6	28.7	9
Bishops Hull Primary School	225	15.5	28.2	9
Bishops Lydeard Church of England Voluntary Controlled Primary School	208	14.1	27.3	15
Blackbrook Primary School	238	16.1	29.8	19
Brookside Community Primary School	487	14.3	27.3	26
Bruton Primary School	253	15.4	27.8	18
Buckland St Mary Church of England Primary School	63	16.0	26.4	13
Butleigh Church of England Primary School	100	16.3	28.9	25
Cannington Church of England Primary School	165	13.5	27.5	10
Castle Cary Community Primary School	205	16.4	29.8	10
Castle Primary School	147	14.5	26.2	43
Catcott Primary School	188	17.2	29.7	13
Charlton Horethorne Church of England Primary School	47	15.0	28.7	30
Cheddon Fitzpaine Church of England Primary School	139	14.9	27.8	30
Chewton Mendip Church of England VA Primary School	137	16.2	29.9	0
Chilthorne Domer Church School	134	16.8	28.4	28
Churchfield CofE VC Primary School	464	16.3	26.9	11
Churchstanton Primary School	75	15.3	27.2	16
Combe St Nicholas Church of England VA Primary School	71	13.4	27.4	50
Cossington Primary School	41	14.7	22.9	51
Cotford St Luke Primary School	310	16.5	28.2	11
Countess Gytha Primary School	125	15.8	29.2	31
Coxley Primary School	54	14.4	28.5	28
Creech St Michael Church of England Primary School	239	15.5	28.5	24
Curry Rivel Church of England VC Primary School	136	15.8	27.7	26
Danesfield Church of England Voluntary Controlled Community Middle School	328	15.4	27.9	23
Ditcheat Primary School	89	15.2	27.4	10
Dulverton Middle and Community School	103	15.6	27.8	37
East Coker Community Primary School	249	16.3	30.4	17
East Huntspill School	57	16.3	28.7	0
Eastover Community Primary School	402	15.3	28.6	20
Elmhurst Junior School	276	15.9	26.8	18
Enmore Church of England Primary School	146	17.0	30.7	10
Evercreech Church of England Primary School	129	13.9	26.9	21
Fairlands Middle School	527	16.3	27.9	23
Grass Royal Junior School	201	15.5	28.3	21
Halcon Community Primary School	133	13.9	25.3	23
Hambridge Community Primary School	127	16.7	31.1	10
Hamp Community Junior School	225	13.8	27.6	37
Hatch Beauchamp Church of England Primary School	43	16.2	29.8	26
Hemington Primary School	45	11.4	24.5	83
High Ham Church of England Primary School	172	15.6	29.6	16
Holway Park Community Primary School	277	11.4	25.4	70
Holy Trinity Church of England Primary School	328	16.7	29.8	4
Holy Trinity CofE VA Primary School	300	15.5	30.0	26
Horrington Primary School	126	16.6	30.1	14
Horsington Church of England Primary School	106	14.9	28.3	31
